车型-列车号,故障情况,处理情况
AC05-0413,工作令号:蒲均-2023-6-3 040772车客室7#车门紧急拉手盖板片开裂。,更换一块紧急拉手盖板片恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0413,工作令号:蒲均-2023-6-3 040781车客室9#车门内侧指示灯不亮。,紧固040781车客室9#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0410,工作令号:蒲均-2023-6-14 040601车司机室右侧门锁芯损坏。,更换一个司机室侧门锁板后恢复正常。 （备件名称：司机室侧门锁板(右) 型号规格：MY600APR-21501 生产厂商：南京康尼机电股份有限公司） （备件来源：中车申通质保提供） （检修一班）
AC05-0410,工作令号:蒲均-2023-6-14 040592车客室6#车门内指示灯不亮。,紧固040592车客室6#车门内指示灯电源接插件后恢复正常。（检修一班）
AC05-0410,工作令号:蒲均-2023-6-14 040551车客室10#车门紧急拉手盖板开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0401,工作令号:蒲均-2023-6-6 040061车司机室右侧车门开门止档变形。,对040061车司机室右侧车门开门止档整形后恢复正常。（检修一班）
AC05-0401,工作令号：蒲均-2023-6-6 040033车客室5#车门内指示灯不亮。,紧固040033车客室5#车门内指示灯电源接插件后恢复正常。（检修一班）
AC05-0408,工作令号:蒲均-2023-6-9 040453车客室5#车门内指示灯不亮。,紧固040453车客室5#车门内指示灯电源接插件后恢复正常。（检修一班）
AC05-0408,工作令号:蒲均-2023-6-9 040472车客室2#车门紧急拉手盖板片缺失。,补上一块车门紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0404,工作令号:蒲均-2023-6-10 040223车客室8#车门紧急拉手盖板片缺失。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0404,工作令号:蒲均-2023-6-10 040213车客室5#车门内指示灯不亮。,紧固040213车客室5#车门内指示灯电源接插件后恢复正常。（检修一班）
AC05-0409,工作令号:蒲均-2023-6-11 040502车客室8#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0409,工作令号:蒲均-2023-6-11 040491车客室3#车门内侧指示灯不亮。,紧固040491车客室3#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0412,工作令号:蒲均-2023-6-15 040682车客室2#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0412,工作令号:蒲均-2023-6-15 040682车客室9#车门内侧指示灯不亮。,紧固040682车客室9#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0411,工作令号:蒲均-2023-6-18 040622车客室7#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0411,工作令号:蒲均-2023-6-18 040622车客室4#车门内测指示灯不亮。,紧固040622车客室4#车门内测指示灯电源接插件后恢复正常。（检修一班）
AC05-0407,工作令号:蒲均-2023-6-19 040393车客室9#车门紧急拉手盖板片开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0407,工作令号:蒲均-2023-6-19 040403车客室2#车门内侧指示灯不亮。,紧固040403车客室2#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0413,工作令号:蒲均-2023-7-1 040742车客室6#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0413,工作令号:蒲均-2023-7-1 040781车客室6#车门内侧指示灯不亮。,紧固040781车客室6#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0405,工作令号:蒲均-2023-7-2 040292车客室5#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0405,工作令号:蒲均-2023-7-2 040262车客室9#车门蜂鸣器不响。,紧固040262车客室9#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0401,工作令号:蒲均-2023-7-4 040061车客室9#车门紧急拉手盖板片缺失。,补上一个紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班 ）
AC05-0401,工作令号:蒲均-2023-7-4 040043车客室5#车门蜂鸣器不响。,紧固040043车客室5#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0401,工作令号:蒲均-2023-7-4 040022车客室3#车门内侧指示灯不亮。,紧固040022车客室3#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0402,工作令号:蒲均-2023-7-5 040082车客室6#车门蜂鸣器不响。,紧固040082车客室6#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0408,工作令号:蒲均-2023-7-10 040463车客室9#车门蜂鸣器不响。,紧固040463车客室9#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0404,工作令号:蒲均-2023-7-9 040232车客室6#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0410,工作令号:蒲均-2023-7-11 040562车客室6#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0410,工作令号:蒲均-2023-7-11 040573车客室4#车门内侧指示灯不亮。,紧固040573车客室4#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0410,工作令号:蒲均-2023-7-11 040583车客室2#车门蜂鸣器不响。,紧固040583车客室2#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0409,工作令号:蒲均-2023-7-14 040523车客室6#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0409,工作令号:蒲均-2023-7-14 040502车客室2#车门内侧指示灯不亮。,紧固040502车客室2#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0409,工作令号:蒲均-2023-7-14 040491车客室8#车门蜂鸣器不响。,重新紧固040491车客室8#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0409,工作令号:蒲均-2023-7-14 040491车司机室右侧车门止档变形。,对040491车司机室右侧车门止档整形后恢复正常。（检修一班）
AC05-0412,工作令号:蒲均-2023-7-15 040693车客室2#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0412,工作令号:蒲均-2023-7-15 040703车客室2#车门内侧指示灯不亮。,紧固040703车客室2#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0412,工作令号:蒲均-2023-7-15 040682车客室6#车门蜂鸣器不响。,重新紧固040682车客室6#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0411,工作令号:蒲均-2023-7-18 040661车司机室左侧侧门关门时有间隙。,调整040661车司机室左侧侧门锁挡位置后恢复正常。（检修一班）
AC05-0411,工作令号:蒲均-2023-7-18 040643车客室3#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0411,工作令号:蒲均-2023-7-18 040633车客室3#车门蜂鸣器不响。,重新紧固040633车客室3#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0411,工作令号:蒲均-2023-7-18 040643车客室4#车门内测指示灯不亮。,紧固040643车客室4#车门内测指示灯电源接插件后恢复正常。（检修一班）
AC05-0407,工作令号:蒲均-2023-7-21 040382车客室9#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0407,工作令号:蒲均-2023-7-21 040371车司机室右侧车门关门止档变形。,对040371车司机室右侧车门关门止档整形后恢复正常。（检修一班）
AC05-0407,工作令号:蒲均-2023-7-21 040393车客室2#车门蜂鸣器音量低。,重新紧固040393车客室2#车门蜂鸣器电源接插件后恢复正常。（检修一班）
AC05-0407,工作令号:蒲均-2023-7-21 040382车客室6#车门内侧指示灯不亮。,紧固040382车客室6#车门内侧指示灯电源接插件后恢复正常。（检修一班）
04A02-0453,工作令号:四日-2022-8-2 043181 2、4、6、7门车门内指示灯不亮 043172 3、5、6、9门车门内指示灯不亮,更换8个车门内指示灯后正常。（检修二班） 备件来源：物流仓库领用。 工单内按要求重新下发RSYJ域备件：车门内指示灯（橙）8个。
AC05-0416,工作令号:四日-2022-8-26 040911司机室侧门卡滞。,重新调整止挡位置后正常，测试开关门功能正常。（检修二班）
AC05-0419,工作令号:蒲均-2022-9-4 041091 4门、7门，041141 3门、5门、7门车门外墙指示灯不亮,更换5个车门外墙指示灯总成后正常。（检修二班）。 备件来源：物流仓库领用。
AC05-0421,工作令号:蒲均-2022-10-1 041261一门、四门、七门；041252三门、六门、九门车门外墙指示灯灯罩开裂,更换6个车门外墙指示灯灯罩后正常（检修二班）。 备件来源：物流仓库领用。
AC05-0424,工作令号:蒲均-2022-10-7 041391 2门、3门、7门、9门、10门、041413 1门、5门、7门、8门、10门、041432 4门、5门、7门、9门、10门 车门紧急解锁盖板损坏,更换15个车门紧急解锁盖板后检查正常。（检修二班）。 备件来源：物流仓库领用。
AC05-0427,工作令号:蒲均-2023-2-18 041621 4门V字型尺寸超标,调整041621 4门V型尺寸后正常。（检修二班）
AC05-0415,工作令号:蒲均-2023-2-21 040862 5门车门外墙指示灯不亮,紧固040862 5门车门外墙指示灯接插件后正常（检修二班）。
AC05-0419,工作令号:蒲均-2023-2-22 041132 6门 S2尺寸超标,调整041132 6门 S2尺寸后正常。（检修二班）。
AC05-0428,工作令号:蒲均-2023-3-1 041681 9门车门外墙指示灯不亮,紧固 041681 9门车门外墙指示灯接插件后正常。（检修二班）
AC05-0424,工作令号:蒲均-2023-3-2 041432 1门内侧指示灯接线松,紧固 041432 1门内侧指示灯接插件后正常（检修二班）。
AC05-0424,工作令号:蒲均-2023-3-2 041391 司机室左侧车门门页固定螺栓松动,紧固 041391 司机室左侧车门门页固定螺栓后正常（检修二班）。
04A02-0450,工作令号:蒲均-2023-3-24 042992 6门内侧指示灯（黄）接线松动,紧固 042992 6门内侧指示灯（黄）接插件后正常 （检修二班）。
04A02-0450,工作令号:蒲均-2023-3-24 042992 3门支撑轮松动,紧固042992 3门支撑轮后正常。（检修二班）。
04A02-0455,工作令号:蒲均-2023-3-25 043262 5门支撑轮松动,紧固 043262 5门支撑轮螺栓后正常（检修二班）。
04A02-0455,工作令号:蒲均-2023-3-25 043283 7门下导轨紧固件松动,紧固043283 7门下导轨螺栓后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-3-7 040943 7门外侧指示灯（红）接线松动,紧固 040943 7门外侧指示灯（红）接插件后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-3-7 040911 5门车门定位槽固定螺栓松动,紧固   040911 5门车门定位槽固定螺栓后正常（检修二班）。
AC05-0423,工作令号:蒲均-2023-3-10 041363 4门定位槽固定螺栓松动,紧固041363 4门定位槽固定螺栓后正常（检修二班）。
AC05-0423,工作令号:蒲均-2023-3-10 041381 7门内侧指示灯（黄）不亮,更换041381 7门内侧指示灯（黄）总成后正常（检修二班）。 备件来源：车辆分公司修复件。
AC05-0426,工作令号:蒲均-2023-3-11 041561 5门外侧指示灯接线松,紧固041561 5门外侧指示灯接插件后正常（检修二班）。
AC05-0426,工作令号:蒲均-2023-3-11 041522 7门 下导轨松,紧固 041522 7门 下导轨螺栓后正常（检修二班）。
04A02-0451,工作令号:蒲均-2023-3-29 043043 2门盖板方孔锁松,紧固043043 2门盖板方孔锁螺栓后正常（检修二班）。
04A02-0451,工作令号:蒲均-2023-3-29 043061 7门支撑轮松,紧固043061 7门支撑轮螺栓后正常（检修二班）。
AC05-0417,工作令号:蒲均-2023-3-14 040993 7门外侧指示灯接线松,紧固040993 7门外侧指示灯接插件后正常（检修二班）
AC05-0417,工作令号:蒲均-2023-3-14 041021 3门压轮松,紧固041021 3门压轮螺栓后正常（检修二班）。
AC05-0422,工作令号:蒲均-2023-3-17 041293 6门定位槽固定螺栓松,紧固041293 6门定位槽固定螺栓后正常（检修二班）。
AC05-0422,工作令号:蒲均-2023-3-17 041321 司机室左侧门锁松,紧固041321 司机室左侧门锁螺栓后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-3-18 041483 8门内侧指示灯（红）接线松,紧固041483 8门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-3-18 041501 6门压轮松,紧固041501 6门压轮螺栓后正常（检修二班）。
AC05-0427,工作令号:蒲均-2023-3-20 041621 3门定位槽固定螺栓松,紧固 041621 3门 定位槽 固定螺栓后正常（检修二班）
AC05-0427,工作令号:蒲均-2023-3-20 041603 7门内侧指示灯（黄）接线松,紧固 041603 7门 内侧指示灯（黄）接插件后正常（检修二班）。
04A02-0434,工作令号:蒲均-2023-3-32 041991 10门蜂鸣器声音小,调控041991 10门蜂鸣器声音音量后正常（检修二班）。
04A02-0434,工作令号:蒲均-2023-3-32 042013 8门支撑轮与门页金属条碰擦,调节042013 8门支撑轮后正常（检修二班）。
AC05-0415,工作令号:蒲均-2023-3-21 040883 4门定位销松动,紧固040883 4门定位销后正常（检修二班）。
AC05-0415,工作令号:蒲均-2023-3-21 040901 5门内侧指示灯（红）不亮,紧固040901 5门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0419,工作令号:蒲均-2023-3-22 041132 6门外则指示灯（红）接线松,紧固041132 6门外则指示灯（红）接插件后正常。（检修二班）
AC05-0419,工作令号:蒲均-2023-3-22 041113 5门压轮松,紧固 041113 5门压轮固定螺栓后正常。（检修二班）
AC05-0424,工作令号:蒲均-2023-4-2 041441 7门开门止档松,紧固041441 7门开门止档固定螺栓后正常。（检修二班）
AC05-0424,工作令号:蒲均-2023-4-2 041402 9门定位槽松,紧固 041402 9门定位槽固定螺栓后正常。（检修二班）
04A02-0450,工作令号:蒲均-2023-4-24 042951 5门内侧指示灯（黄）接线松,紧固042951 5门内侧指示灯（黄）接插件后正常（检修二班）。
04A02-0450,工作令号:蒲均-2023-4-24 042983 7门下导轨松,紧固042983 7门下导轨固定螺栓后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-4-5 040961 7门内侧指示灯（红）接线松,紧固040961 7门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-4-5 040911 5门压轮松,紧固040911 5门螺栓后正常（检修二班）。
AC05-0423,工作令号:蒲均-2023-4-6 041363 8门定位槽松,紧固041363 8门固定螺栓后正常（检修二班）。
AC05-0423,工作令号:蒲均-2023-4-6 041381 3门门内侧指示灯（黄）接线松,紧固041381 3门门内侧指示灯（黄）接插件后正常（检修二班）。
AC05-0420,工作令号:蒲均-2023-4-9 041173 8门外侧指示灯（红）接线松,紧固 041173 8门外侧指示灯（红）接插件后正常。（检修二班）
AC05-0420,工作令号:蒲均-2023-4-9 041151 6门开门止档松,紧固 041151 6门开门止档螺栓后正常。（检修二班）
AC05-0426,工作令号:蒲均-2023-4-10 041522 7门外侧指示灯不亮,紧固041522 7门外侧指示灯接插件后正常（检修二班）。
AC05-0426,工作令号:蒲均-2023-4-10 041511 5门定位销变形,整形041511 5门定位销后正常（检修二班）。
04A02-0451,工作令号:蒲均-2023-4-27 043033 4门内侧指示灯（红）不亮,紧固043033 4门内侧指示灯（红）接插件后正常（检修二班）。 任务说明里车辆号应为043033，不是043023。
04A02-0451,工作令号:蒲均-2023-4-27 043052 7门辅助支撑松动,紧固043052 7门辅助支撑螺栓后正常（检修二班）。
AC05-0417,工作令号:蒲均-2023-4-13 040993 5门开门止档松,紧固040993 5门开门止档螺栓后正常（检修二班）。
AC05-0417,工作令号:蒲均-2023-4-13 040982 7门内侧指示灯（红）不亮,紧固040982 7门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0422,工作令号:蒲均-2023-4-15 041303 9门定位槽松,紧固041303 9门定位槽螺栓后正常（检修二班）。
AC05-0422,工作令号:蒲均-2023-4-15 041293 8门内侧指示灯（红）不亮,紧固041293 8门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-4-16 041501 8门定位槽松,紧固041501 8门定位槽螺栓后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-4-16 041501 2门内侧指示灯（红）不亮,紧固041501 2门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0427,工作令号:蒲均-2023-4-19 041603 7 门定位槽松,紧固041603 7 门定位槽螺栓后正常（检修二班）。
AC05-0427,工作令号:蒲均-2023-4-19 041612 9门左侧上导轨变形,更换1个041612 9门左侧上导轨后正常（检修二班）。 备件来源：大修质保提供，坏件大修质保处理，备件为新件。 备注：任务说明中应为041612 9门左侧上导轨变形。
AC05-0415,工作令号:蒲均-2023-4-20 040873 6门定位槽松,紧固040873 6门定位槽螺栓后正常（检修二班）。
AC05-0415,工作令号:蒲均-2023-4-20 040901司机室通道门锁舌松,紧固040901司机室通道门锁舌后正常（检修二班）。
04A02-0434,工作令号:蒲均-2023-4-30 042041 通道门无法锁闭,更换一个042041 通道门 门锁组成后正常。（检修二班） 来源：架大修质保提供，坏件由质保处理。 备件为新件。
AC05-0419,工作令号:蒲均-2023-4-22 041113 9门内侧指示灯（红）不亮,紧固041113 9门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0419,工作令号:蒲均-2023-4-22 041113 5门定位槽变形,整形041113 5门定位槽后正常（检修二班）。
AC05-0424,工作令号:蒲均-2023-5-1 041391 6门定位槽变形,对041391 6门定位槽整形后正常（检修二班）。
AC05-0424,工作令号:蒲均-2023-5-1 041402 10门外侧指示灯不亮,紧固041402 10门外侧指示灯接插件后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-5-2 040943 5门定位槽松,紧固040943 5门定位槽螺栓后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-5-2 040961 9门内侧指示灯（红）不亮,紧固040961 9门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0423,工作令号:蒲均-2023-5-5 041331 7门外侧指示灯不亮,紧固 041331 7门外侧指示灯接插件后正常。（检修二班）。 任务说明应为 041331 7门外侧指示灯不亮。
AC05-0420,工作令号:蒲均-2023-5-9 041162 3门外侧指示灯不亮,紧固 041162 3门外侧指示灯接插件后正常。（检修二班）
AC05-0426,工作令号:蒲均-2023-5-10 041511 8门定位槽变形,整形 041511 8门定位槽后正常。（检修二班）
04A02-0451,工作令号:蒲均-2023-5-25 043061 7 门蜂鸣器声音轻,调节043061 7 门蜂鸣器声音后正常（检修二班）。
04A02-0451,工作令号:蒲均-2023-5-25 043033 10门支撑轮与门页碰擦,调节043033 10门支撑轮后正常（检修二班）。
AC05-0417,工作令号:蒲均-2023-5-14 041021 8门外侧指示灯不亮,紧固041021 8门外侧指示灯接插件后正常（检修二班）。
AC05-0417,工作令号:蒲均-2023-5-14 041012 6门定位槽松,紧固041012 6门定位槽螺栓后正常（检修二班）。
AC05-0422,工作令号:蒲均-2023-5-16 041293 3门定位槽松,紧固041293 3门定位槽螺栓后正常（检修二班）。
AC05-0422,工作令号:蒲均-2023-5-16 041303 7门外侧指示灯不亮,紧固041303 7门外侧指示灯接插件后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-5-17 041483 8门内侧指示灯（红）不亮,紧固041483 8门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-5-17 041501 6门定位槽变形,整形041501 6门定位槽后正常（检修二班）。
AC05-0427,工作令号:蒲均-2023-5-19 041612 7门定位槽变形,整形041612 7门定位槽后正常（检修二班）。
AC05-0427,工作令号:蒲均-2023-5-19 041593 10门外侧指示灯不亮,紧固041593 10门外侧指示灯接插件后正常（检修二班）。 备注：任务说明中应为：041593 10门外侧指示灯不亮
04A02-0434,工作令号:蒲均-2023-5-30 041991 8门蜂鸣器声音轻,调节041991 8门蜂鸣器后正常（检修二班）。
04A02-0434,工作令号:蒲均-2023-5-30 042032 6门支撑轮与门页碰擦,调整042032 6门支撑轮后正常（检修二班）。 任务说明中车辆号应为 042032。
AC05-0415,工作令号:蒲均-2023-5-21 040873 10门定位槽变形,整形040873 10门定位槽后正常（检修二班）。
AC05-0415,工作令号:蒲均-2023-5-21 040851 5门外侧指示灯不亮,紧固040851 5门外侧指示灯接插件后正常（检修二班）。
AC05-0419,工作令号:蒲均-2023-5-22 041132 5门外侧指示灯不亮,紧固041132 5门外侧指示灯接插件后正常（检修二班）。
AC05-0419,工作令号:蒲均-2023-5-22 041113 10门定位槽变形,整形041113 10门定位槽后正常（检修二班）。
AC05-0424,工作令号:蒲均-2023-6-1 041391 10门定位槽变形,整形041391 10门定位槽后正常（检修二班）。
AC05-0424,工作令号:蒲均-2023-6-1 041441 7门外侧指示灯不亮,紧固041441 7门外侧指示灯接插件后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-6-2 040911 10门定位槽变形,整形040911 10门定位槽后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-6-2 040922 9门外侧指示灯不亮,紧固040922 9门外侧指示灯接插件后正常（检修二班）。 任务说明应为：040922 9门外侧指示灯不亮。
04A02-0436,工作令号:蒲均-2023-6-24 042143 8 门支撑轮与门页碰擦,调节042143 8 门支撑轮后正常（检修二班）。 备注：故障时间填写错误，正确为2023/6/6 13:00:00 实际开始时间填写错误，正确为2023/6/6 13:00:00 实际错误时间填写错误，正确为2023/6/6 14:00:00
04A02-0436,工作令号:蒲均-2023-6-24 042122 6门内侧指示灯（红）不亮,紧固042122 6门内侧指示灯（红）接插件后正常（检修二班）。 备注：故障时间填写错误，正确为2023/6/6 13:00:00 实际开始时间填写错误，正确为2023/6/6 13:00:00 实际错误时间填写错误，正确为2023/6/6 14:00:00。
AC05-0423,工作令号:蒲均-2023-6-4 041331 7门外侧指示灯（红）不亮,紧固041331 7门外侧指示灯（红）接插件后正常（检修二班）。
AC05-0423,工作令号:蒲均-2023-6-4 041381 10门定位槽变形,整形041381 10门定位槽后正常（检修二班）。
04A02-0455,工作令号:蒲均-2023-6-25 043283 6门左侧支撑轮间隙小,调整043283 6门左侧支撑轮后正常（检修二班）。
04A02-0455,工作令号:蒲均-2023-6-25 043283 2门蜂鸣器不响,043283 2门蜂鸣器缺失，补上后正常（检修二班）。 备件来源：物流仓库领用。 生产厂商：上海法维莱交通车辆设备有限公司 型号规格：12.2320.0260
AC05-0420,工作令号:蒲均-2023-6-8 041173 9门定位槽变形,整形041173 9门定位槽后正常（检修二班）。
AC05-0420,工作令号:蒲均-2023-6-8 041201 9门外侧指示灯不亮,紧固041201 9门外侧指示灯接插件后正常（检修二班）。
AC05-0426,工作令号:蒲均-2023-6-12 041552 6门外侧指示灯不亮,紧固041552 6门外侧指示灯接插件后正常（检修二班）。
AC05-0426,工作令号:蒲均-2023-6-12 041561 10门定位槽变形,整形041561 10门定位槽后正常（检修二班）。
AC05-0417,工作令号:蒲均-2023-6-13 041012 9门 041021 6门S1行程开关卡滞,更换两个S1行程开关后正常（检修二班）。 备件来源：大修质保提供。
AC05-0417,工作令号:蒲均-2023-6-13 040971 10门定位槽变形,整形040971 10门定位槽后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-6-16 041501 10门定位槽松,紧固 041501 10门定位槽螺栓后正常。（检修二班）
AC05-0427,工作令号:蒲均-2023-6-17 041603 8门定位槽变形,整形 041603 8门定位槽后正常。（检修二班）
04A02-0434,工作令号:蒲均-2023-6-29 042013 8门支撑轮与门页碰擦,调整042013 8门支撑轮后正常（检修二班）。
04A02-0434,工作令号:蒲均-2023-6-29 041991 2门蜂鸣器声音轻,调节041991 2门蜂鸣器音量后正常（检修二班）。
AC05-0415,工作令号:蒲均-2023-6-20 040851 6门定位槽变形,整形 040851 6门定位槽后正常。（检修二班）
AC05-0419,工作令号:蒲均-2023-6-21 041102 6门外侧指示灯不亮,紧固041102 6门外侧指示灯接插件后正常（检修二班）。
AC05-0419,工作令号:蒲均-2023-6-21 041091 8门定位槽变形,整形041091 8门定位槽后正常（检修二班）。
04A02-0452,工作令号:蒲均-2023-6-28 043071 6门蜂鸣器声音轻,调节043071 6门蜂鸣器声音后正常（检修二班）。
04A02-0452,工作令号:蒲均-2023-6-28 043093 8门支撑轮与门页碰擦,调整043093 8门支撑轮后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-7-3 040943 4门车门盖板锁闭机构松,紧固040943 4门车门盖板锁闭机构固定螺栓后正常（检修二班）。
AC05-0416,工作令号:蒲均-2023-7-3 040961 7门开门止档松,紧固040961 7门开门止档紧固螺母后正常（检修二班）。
AC05-0424,工作令号:蒲均-2023-7-7 041432 7门外侧门灯不亮,紧固041432 7门外侧门灯接插件后正常（检修二班）。
AC05-0424,工作令号:蒲均-2023-7-7 041441 5门开门止档松,紧固041441 5门开门止档螺母后正常（检修二班）。
04A02-0433,工作令号:蒲均-2023-7-24 041963 7门蜂鸣器声音轻,调整041963 7门蜂鸣器后正常（检修二班）。
04A02-0433,工作令号:蒲均-2023-7-24 041981 1门支撑轮与车门擦碰,调整041981 1门支撑轮后正常（检修二班）。
AC05-0426,工作令号:蒲均-2023-7-12 041561 10门定位槽变形,整形041561 10门定位槽后正常（检修二班）。
AC05-0426,工作令号:蒲均-2023-7-12 041552 7门外侧指示灯不亮,紧固041552 7门外侧指示灯接插件后正常（检修二班）。
AC05-0420,工作令号:蒲均-2023-7-13 041183 5门定位槽内有异物,清洁041183 5门定位槽后正常（检修二班）。
AC05-0420,工作令号:蒲均-2023-7-13 041201 8门内侧指示灯（红）接线松,紧固041201 8门内侧指示灯（红）接插件后正常（检修二班）。
AC05-0423,工作令号:蒲均-2023-7-8 041372 9门定位槽变形,整形041372 9门定位槽后正常（检修二班）。
AC05-0417,工作令号:蒲均-2023-7-17 041021 8门定位槽变形,整形041021 8门定位槽后正常（检修二班）。
04A02-0455,工作令号:蒲均-2023-7-27 043283 5门蜂鸣器声音轻,调节043283 5门蜂鸣器音量后正常（检修二班）。
04A02-0455,工作令号:蒲均-2023-7-27 043292 8门支撑轮与门页碰擦,调整043292 8门支撑轮后正常（检修二班）。
AC05-0425,工作令号:蒲均-2023-7-19 041492 6门定位槽变形,整形041492 6门定位槽后正常（检修二班）。
04A02-0434,工作令号:蒲均-2023-7-32 042013 8门蜂鸣器声音轻,调节042013 8门蜂鸣器音量后正常（检修二班）。
04A02-0434,工作令号:蒲均-2023-7-32 042002 7门支撑轮与门页碰擦,调整042002 7门支撑轮后正常（检修二班）。
