车型-列车号,故障情况,处理情况
AC08-0235,工作令号:二日-2023-6-28 0235#021451 5门测试EDCU。,0235#021451 5门测试EDCU。测试正常，备件为返修件，车况正常。 故障单：2000138 装上：936/0743 拆下：34/0748
AC17A-0269,工作令号:二日-2023-6-28 0269#024203车10门显示无通讯,川沙基地日二 0269#024203车10门显示无通讯。 检查发现为EDCU故障，与9门互换并更换EDCU后正常，开关门测试正常。 旧件：10536/0901（服：5936935） 新件：13256/1002 原9门：10357/0853
AC17A-0268,工作令号:二日-2023-7-3 02068# 024161 显示通道门打开,02068# 024161 显示通道门打开 流水号：龙-0014159 回库检查开关门正常，各尺寸正常，现调整接近开关间隙后开关门测试正常。
AC08-0240,工作令号:二日-2023-7-3 240#021921正线报通道门关不上,240#021921正线报通道门关不上。 日检上车查看通道门开关功能正常，测量搭接量>5。 符合技术标准，多次试关正常，车况正常。 故障单号：北-2001525 北翟日二闭环。 （备注：任务说明 021912填写错误实际应为021921）
02A05-02091,工作令号:二日-2023-7-6 02091# 025931 司机室通道门坏,02091# 025931 司机室通道门坏 流水号：龙-0014176 调整锁舌后灵活正常，开关门正常（龙阳路维修）。
AC17A-0269,工作令号:二临-2023-7-14 02023-07-06 09:09 二号线华夏东路站上行0269#车，全列车车门无法打开，第1节第3扇车门故障。,回库检查发现8车（024241）司机室主台右侧备用关门按钮卡滞，导致开门列车线无法得电，全列车车门无法打开，更换关门按钮后，列车开关门正常。上车检查发现8车（024241）6门被切除，回库下载故障为Door Locked switch fault（车门锁闭限位开关故障），更换6门Door Locked switch(车门锁闭限位开关）后并与5，门互换EDCU后多次开关门正常。备件名称：关门按钮，型号：E7210010010（绿)，厂商：MAFELEC，备件为返修件。备件名称：车门锁闭行程开关，型号：84.7207.0501，厂商：上海法维莱交通车辆设备有限公司/SFRT，备件为返修件。3 原6门：11228/0932 原5门：11223/0932
AC02-0208,工作令号:二日-2023/7/6 0208#00491 8#门车门故障,0208#00491 8#门车门故障。 上车检查为大气缸卡死，更换大气缸后正常，车况正常。 备件为拆车件，209#架大修时间2022年10月，有合格证。 故障单号：北-2001563 北翟日二闭环。
02A05-02089,工作令号:二日-2023-7-7 0289#025813车门故障重新开关后正常。,0289#025813车门故障重新开关后正常。 回库下载数据020895车10#开门防夹故障，查看监控是开门夹住乘客书包导致。测量020895车10#尺寸正常，多次开关门正常，车况正常。 故障单号：2001576 北翟日二闭环 非车辆原因
AC02-0214,工作令号:二日-2023-7-10 02014#01071车5门需开关2次后才能关闭,川沙基地 02014#01071车5门需开关2次后才能关闭 流水号：2000584 检查为开关门速度过慢，调整大气缸开关门速度后测试开关门正常，复测车门各尺寸正常。
AC17B-0278,工作令号:二日-2023-7-10 02078#024571申通长客测试门控器备件,02078#024571申通长客测试门控器备件 流水号：龙-0014207 门控器024571车9#门（序列号：20019/1636）装车测试正常（备件为返修件）。 拆下门控器024571车9#门（序列号：13070/0951）作为备件使用。 门控器024571车8#门（序列号：14983/1030）装车测试正常（备件为返修件）。 拆下门控器024571车8#门（序列号：12787/0950）作为备件使用。 龙阳路更换
AC08-0239,工作令号:二临-2023-7-26 02023-07-18 07:34 二号线北翟路基地出入库线0239#车，上行右侧备用关门按钮卡死。,0239#车，上行右侧备用关门按钮卡死 。 检修人员上车发现0239#车，1车（021771）司机室右侧备用关门按钮卡滞。现更换0239#车，1车（021771）司机室右侧备用关门按钮后测试开关门功能正常，车况正常。 型号：934149 类型为新件，有合格证。 厂商：瑞爱实用科技（苏州）有限公司 北翟日二 闭环 编号：2001693
AC17B-0276,工作令号:二日-2023-7-19 02076# 024491左侧司机室侧门无法打开,02076# 024491左侧司机室侧门无法打开 编号：2001739 检查为左侧司机室门锁坏，更换后正常。 新件坏件厂方处理 备件为新件 备件由质保提供 备件有合格证 龙阳路维修 维修日期 2023.7.19
AC02-0211,工作令号:二日-2023-7-23 0211#00671车1门无法关闭,0211#00671车1门无法关闭 故障号：2000750 检查为车门大气缸卡死，更换车门大气缸后开关门20次测试正常。 川沙日二闭环。
AC08-0245,工作令号:二日-2023-7-26 0245#022321 4#车门故障。,0245#022321 4#车门故障。 上车对故障车门进行检查，发现车门门控器死机，更换门控器后，反复开关门测试20次功能正常，车况正常。 （新件旧件厂方处理。备件为返修件有返修报告及合格证。） 故障单号：2001263 北翟日二闭环 门控器：旧件：20123/1708[服：5991007] 新件：478/0728 版本号：C258
AC17B-0273,工作令号:二日-2023-7-26 02073# 024371 紧急制动不缓解,02073# 024371 紧急制动不缓解 编号：2001793 上车检查发现逃生门限位开关损坏，更换逃生门限位开关后正常，库内静态测试正常。 日一结
02A05-02109,工作令号:二日-2023-7-31 2109#报027393车厢9号门障碍物检测,2109#报027393车厢9号门障碍物检测。 检查027393（9门）故障时刻夹旅客衣服，多次开关门实验正常，车况正常。非车辆原因。 故障单号：2001319 北翟日二闭环。
AC02-0207,工作令号:二日-2023-7-31 02007# 00453 6门故障,02007# 00453 6门故障 编号：2001835
02A05-02091,工作令号:二日-2023-7-31 02091# 025973 9门故障,02091# 025973 9门故障 编号：2001836
AC17A-0261,工作令号:二日-2022-8-2 02061#正线报023552 10号车门故障。,02061#正线报023552 10号车门故障。 回库查看录像为乘客冲门导致车门防夹。重新开关门多次均正常。 故障单号：北-2005793
AC02-0208,工作令号:二日-2022-8-10 02008#00502 3#车门正线报车门故障。,02008#00502 3#车门正线报车门故障。 正线日检上车检查面板无故障，开关门测试正常，跟车几站均正常。回库检查，车门正常，开关门测试多次均正常，车况正常。 故障单号：北-2005856
AC17B-0279,工作令号:二日-2022-8-10 2079# 025253 9门车门无通讯,2079# 025253 9门车门无通讯 流水号：川-0006377 上车下载故障记录发现为门控器故障，重启门控器后，多次开关门均正常，车况正常，面板无故障。
AC02-0213,工作令号:二日-2022-8-22 0213#01061正线报车门故障,0213#01061正线报车门故障，回库检查发现为3#车门解钩小气缸坏，更换解钩小气缸后，开关车门多次均正常。 报单编号：北-3000060 北翟日三 坏件备件质保处理
AC08-0240,工作令号:二日-2022-8-30 2040# 021912 6门未完全打开,2040# 021912 6门未完全打开 流水号：川-0006503 上车更换车门门控装置，调整门页高度，开关门多次均正常，车况正常。 新：20544/2207 旧：20437/2151（服：5442663）
AC08-0239,工作令号:二临-2022-09-16 02022-09-15 14:10 二号线江苏路站下行0239#车，第8节第2扇车门故障,上车查看发现车门底部与门槛有摩擦，调整门页高度后恢复正常，开关门测试40次正常。龙-0007033
AC02-0215,工作令号:二日-2022-9-22 2015# 01181 1门门控指示灯不亮,2015# 01181 1门门控指示灯不亮 流水号：川-0006610 更换指示灯后正常。
AC08-0234,工作令号:二日-2022-9-23 2034# 021441 DDU面板显示通道门打开,2034# 021441 DDU面板显示通道门打开 流水号：川-0006616 回库检查测试通道门开关正常，车况正常，非车辆原因。
AC17B-0271,工作令号:二日-2022-9-23 2071# 024291 DDU面板显示通道门打开,2071# 024291 DDU面板显示通道门打开 流水号：川-0006615 回库检查发现为司机室通道门感应器位置偏移，重新调整位置紧固后正常，车况正常。
AC02-0202,工作令号:二日-2022-10-5 2002# 00131 8门大气缸漏气,2002# 00131 8门大气缸漏气（龙-0007162） 更换大气缸后正常，库内测试正常。 备件由质保提供，坏件质保回收。
AC08-0235,工作令号:二临-2022-10-11 02022-10-09 19:21 二号线川沙站上行0235#车第5节第3扇车门故障。,回库下载门控数据为关门防夹功能启动，查看录像为异物造成，司机已取走，恢复车门，检查车门尺寸正常。开关门数次正常。
AC17B-0285,工作令号:二临-2022-10-12 02022-10-09 19:36 二号线静安寺站上行0285#车，上行左侧第8节第5扇车门故障切除。,回库检查为024851 10门电子门控装置（EDCU）故障，现与024851 8门互换EDCU后故障转移，后更换8门EDCU后开关门测试正常，复测车门各尺寸正常。车况正常。厂商：法维莱。型号：12.2305.7302 。备件为返修件。 现10门：20778/1932 024851 8门新件：11498/0932 021851 8门旧件：20999/1935（服：5503107）
AC08-0240,工作令号:二日-2022-10-25 2040# 021851 司机室通道门未关好,2040# 021851 司机室通道门未关好（龙-0007283） 回库检查正常，开关门数次均正常。
AC17A-0264,工作令号:二临-2022-11-4 02022-11-02 15:44 二号线北新泾路站下行0264#车，下行方向第3节第2扇车门故障。,下载023792故障无相关故障记录，检查为3门车门电机卡滞，更换车门电机，开关门测试正常。 备件厂商：上海法维莱交通车辆设备有限公司 备件型号：12.2315.0301 备件类型：新件。
AC02-0204,工作令号:二临-2022-11-8 02022-11-05 07:26 二号线徐泾东站上行0204#车上行第一节第四扇车门无法关闭。,回库后下载录像并检查车门发现导轨内有异物，去除后测量车门尺寸正常，测试车门功能正常，开关门多次均正常，非车辆原因。
AC08-0240,工作令号:二日-2022-11-5 02040#021851正线报司机室右侧门有问题。,02040#021851正线报司机室右侧门有问题。 正线日检检查侧门功能正常。列车回库后日检上车检查该门开启、锁闭功能正常，紧固螺丝正常。 故障单号：北-3000504 北翟日三
AC08-0242,工作令号:二日-2022-11-6 02042#022081左侧司机室车门卡滞,02042#022081左侧司机室车门卡滞。（龙-0007360） 调整司机室车门铰链后测试正常。
AC02-0216,工作令号:二日-2022-11-9 02016#01191正线报通道门弹开多次。,02016#01191正线报通道门弹开多次。 列车回库检查通道门锁闭正常，多次开关均正常。非车辆原因。 故障单号：北-3000515
AC17B-0277,工作令号:二日-2022-11-13 02077#024561左侧车门锁紧断路器跳开。,02077#024561左侧车门锁紧断路器跳开。 上车检查确认为025182 5#门DLS的3号端子接线对地绝缘不良。更换3号接线后，门功能正常。开关门20次均正常。（新件坏件质保处理） 故障单号：北-3000534 北翟日三
AC08-0240,工作令号:二日-2022-11-22 2040# 021851 通道门打开,2040# 021851 通道门打开（龙-0007444） 正线确认处于关闭状态，回库检查正常。
AC08-0245,工作令号:二日-2022-11-29 2045#022312/022303 整节车门无通讯,2045#022312/022303 整节车门无通讯 流水号：川-0007000 上车查看故障发现RIOM死机，测量线路及电阻均正常，重启RIOM恢复正常，查看mpu发现1车mpu无主从切换记录，更换1车mpu后恢复正常，测试开关门均正常，车况正常。
AC17B-0273,工作令号:二日-2022-11-29 02073#024371左侧司机室侧门门锁坏。,02073#024371左侧司机室侧门门锁坏。 更换新门锁后开关门正常。（新件坏件申长处理，有合格证） 故障单号：北-3000634
AC17B-0285,工作令号:二日-2022-11-30 2085#025502 7门车门故障,2085#025502 7门车门故障 流水号：川-0005063 更换门控器后故障消失，多次开关门测试正常，车况正常。 旧：20157/1745 新：20622/1803 新车质保，不开服务请求
AC17B-0276,工作令号:二日-2022-11-30 02076#024512正线报2#门故障。,02076#024512正线报2#门故障。 回库读取MPU故障，无相关故障代码。检查发现EDCU死机。更换EDCU后开关门测试多次均正常。（备件坏件申长处理，有返修报告） 旧件序列号：20572/1915 （服：20572/1915）新件序列号：10396/0853（服：5577655） 故障单号：北-3000646 北翟日三
AC17B-0277,工作令号:二日-2022-12-19 2077# 024542、024552 车门无通讯,2077# 024542、024552 车门无通讯 流水号：川-0005163 上车检查2车8门至10门的485线校线正常，预防性互换1车8门与2车8门的EDCU、互换2车的RIOM3与8车的RIOM3后，库内静态测试正常，多次开关门正常，车况正常。 原1车8门：11516/0932 原2车8门：13977/1012
AC17B-0281,工作令号:二临-2022-12-27 02022-12-24 20:20 二号线南京东路站上行0281#车，第一节第五扇紧急拉手被激活，司机无法恢复,检修人员下载客室录像确认024691车9号门车门无乘客触发车门紧急拉手，该扇车门为正常开关门过程中发生卡滞情况，进一步检查发现该扇车门左门页下部与门槛内存在异物（非车辆部件）卡滞，导致车门处于半开状态，且无法拉动关闭切除。检修人员取出异物后车门恢复正常，多次开关门正常，列车正常。
AC17A-0254,工作令号:二日-2022-12-31 02054#022971副台侧司机室侧门无法打开。,02054#022971副台侧司机室侧门无法打开。 检查为门锁坏。更换总成后，测试正常。（备件坏件申长处理，新件有合格证） 故障单号：北-3000786
AC17A-0264,工作令号:二日-2023-1-1 264#023771 9门关门灯不亮，开关门正常,流水号：川-0005213 重刷edcu软件后开关门20次测试正常
02A05-02091,工作令号:二日-2023-1-1 02091#025931 6门车门故障,上车检查更换从门控器刷新软件后多次开关门测试正常。 新件序列号：31290200300434001912300291 坏件序列号：31290200300434001840300170 龙-0007624 因是新车部分，故不开服务请求
AC08-0242,工作令号:二日-2023-1-5 2042# 022081 司机室通道门显示未关闭,2042# 022081 司机室通道门显示未关闭（龙-0007642） 上车检查发现通道门限位位置存在故障，已重新调整，后测试功能正常。
AC02-0202,工作令号:二日-2023-1-9 02002#00173 3号门车门故障,02002#00173 3号门车门故障。龙-0007660 更换大气缸，调整开关门速度，多次测试正常。 备件厂方提供，坏件厂方处理。
AC17B-0276,工作令号:二日-2023-1-12 0276#024491#乘客投诉10#门页有个洞,0276#024491#乘客投诉10#门页有个洞，更换右侧门页后，测试开关门正常。 报单编号：北-3000848 备件拆自272#024342车厢10#车门 北翟日三
AC17B-0277,工作令号:二日-2023-2-5 02077#024531正线报左侧司机室侧门无法打开。,02077#024531正线报左侧司机室侧门无法打开。 更换左侧侧门门锁后测试正常。（新件坏件申长处理，有合格证） 故障单号：北-3000969
AC17A-0257,工作令号:二日-2023-2-17 0257#023211司机室侧门门锁坏,"0257#023211司机室侧门门锁坏,更换侧门门锁后测试正常。 报单编号：北-3001237 北翟日三 备件坏件质保处理，备件为新件"
AC17B-0277,工作令号:二日-2023-2-22 2077# 024542 5门打不开,2077# 024542 5门打不开（龙-0007868） 正线重启EDCU后正常，回库检查相关线路正常，更换EDCU正常，现刷软件后开关多次测试正常。 备件为返修件由质保提供，备件数量为1。旧件序列号：13467/1004（服：5692543） 新件序列号：10660/0914
AC17B-0278,工作令号:二日-2023-2-26 2078#024592 1车门故障,2078#024592 1车门故障 流水号：川-0005457 更换EDCU（电子门控装置）并且刷软件后正常，开关门多次均正常，车况正常。更换EDCU（电子门控装置）1个。 （任务说明应为2078#024592 1门车门故障） 旧件：13066/0951（服：5698707） 新件：10613/0914 备件为新件，不开服务请求
AC08-0233,工作令号:二日-2023-3-2 02033#021291正线报司机室副台侧墙开门灯不亮。,02033#021291正线报司机室副台侧墙开门灯不亮。 列车回库检查发现为DOR2-A继电器A1点位接线接触不良。重做接线并紧固后，测试功能正常。 故障单号：北-3001103
AC08-0244,工作令号:二日-2023-3-6 02044#022232车厢3号车门打不开,02044#022232车厢3号车门打不开。龙-0007928 回库检查下载故障，无相关故障记录。检查发现车门被异物卡住，清除异物后测量车门相关尺寸正常，开关门正常。
AC17A-0257,工作令号:二日-2023-3-17 2057# 023252 3门车门故障,2057# 023252 3门车门故障 流水号：川-0005528 更换EDCU（电子门控装置）并刷新程序后正常，多次开关门测试均正常，车况正常。(详情在父工单中)车辆原因在父工单中打勾
AC17B-0273,工作令号:二日-2023-3-18 2073# 025042 7门车门故障,2073# 025042 7门车门故障 流水号：川-0005536 上车更换EDCU（电子门控装置）后正常，并刷新软件，多次开关门均正常，车况正常。 旧件：20270/1750 新件：20920/1815 新车质保，不开服务请求，坏件退给质保
AC17B-0278,工作令号:二日-2023-4-3 2078# 024601 10门车门故障,2078# 024601 10门车门故障 流水号：川-0005618 上车下载故障确认为防夹功能启动，复查车门各尺寸均正常，多次开关门测试正常，车况正常，非车门故障。
AC17B-0282,工作令号:二日-2023-4-11 2082# 025382 7门车门无通讯,2082# 025382 7门车门无通讯 流水号：川-0005637 重刷EDCU软件后测试正常，开关门多次均正常，车况正常。
AC17B-0273,工作令号:二日-2023-4-22 2073# 025022 2门车门故障,2073# 025022 2门车门故障 流水号：川-0005682 回库下载故障确认为DLS2限位开关故障，更换后正常，多次开关门均正常，车况正常。
AC17B-0277,工作令号:二日-2023-5-1 277#024561#2#车门上方有异声,277#024561#2#车门上方有异声，润滑车门导轨后正常，开关车门正常。 报单编号：北-3001287 北翟日三
AC08-0238,工作令号:二日-2023-5-1 0238#021702#021713#正线报列车开关门速度慢,0238#021702#021713#正线报列车开关门速度慢，列车回库检查两节列车车门开关速度均正常。 报单编号：北-3001288 北翟日三
AC02-0204,工作令号:二临-2023-4-21 02023-05-01 17:23 二号线世纪公园站下行0204#车下行第7节第2扇车门故障。,列车回库检查发现（00293）车8门处门槽内有异物卡滞，导致列车车门无法关闭，取出后列车开关门正常，复测车门各尺寸均正常，车况正常，非车辆原因。
AC17A-0269,工作令号:二日-2023-5-1 2069# 024212 3门车门故障,2069# 024212 3门车门故障 流水号：川-0005737 回库更换EDCU后，并刷新软件后正常，多次开关门测试均正常，车况正常。 旧件：11309/0932（服：5827705） 新件：11423/0932
AC17B-0277,工作令号:二日-2023-5-4 02077#024531司机室左侧侧门门锁坏。,02077#024531司机室左侧侧门门锁坏。 检查为门锁弹簧失效，更换侧门门锁后，功能测试正常。（备件坏件申长处理，备件为拆车件，拆自255#023051左侧） 故障单号：北-3001305 北翟日三
AC17A-0260,工作令号:二日-2023-5-5 02060#023521司机通道门打开,02060#023521司机通道门打开。（龙-0013656） 回库检查通道门锁闭正常。
AC08-0238,工作令号:二日-2023-5-13 2038# 021743 10号车门无通讯,2038# 021743 10号车门无通讯（龙-0013723） 上车检查为EDCU故障，更换1个EDCU后开关门20次正常，备件为新件由质保提供。 旧件：82/0810（服：5849927） 新件：20525/2207
AC17B-0285,工作令号:二日-2023-5-16 2085# 024851 8门车门故障,2085# 024851 8门车门故障 流水号：川-0005849 更换EDCU后正常，多次开关门正常，车况正常。 新：13209/0951 旧：11498/0932（服：5854200）
AC17B-0285,工作令号:二日-2023-5-16 2085# 024851 10门应技术要求更换EDCU。,2085# 024851 10门应技术要求更换EDCU 流水号：川-0005850 上车更换EDCU后正常，车况正常。 新：11358/0932 旧：11147/0925 拆下备件为好件，不开服务请求
AC17B-0277,工作令号:二日-2023-5-16 2077# 024542、024552 车门无通讯,2077# 024542、024552 车门无通讯 流水号：川-0005852 回库下载故障确认为空调板卡故障，更换2个控制卡后正常，多次开关门测试正常，车况正常。
AC17B-0285,工作令号:二临-2023-5-25 02023-05-16 08:45 二号线龙阳路站上行0285#车上行第8节第1扇车门紧急拉手拉下，司机至现场切除。,回库下载故障为：车门锁闭行程开关故障，更换DLS1、DLS2（车门锁闭行程开关）后多次开关门正常，检查车门各尺寸都正常，车况正常。备件厂商：法维莱   备件型号：84.7207.0502    备件类型：新件。
AC17A-0257,工作令号:二日-2023-5-17 02057#023252车厢2号门车门故障,02057#023252车厢2号门车门故障。龙-0013768 检查为端排上25-1与27-1两根线接反，现更换后车门故障消除，车况正常。开关门数次正常，库内静态测试正常。
AC17B-0280,工作令号:二日-2023-5-21 280# 025322 3门车门故障,280# 025322 3门车门故障 流水号：川-0005888 上车更换EDCU后正常，并重刷程序，多次开关门测试正常，车况正常。 旧：21123/1920 新：21093/1833 新车质保，不开服务请求，坏件退给厂商
AC02-0208,工作令号:二临-2023-5-45 02023-05-21 16:41 二号线淞虹路站上行0208#车，第六节第四扇车门故障。,列车回库检修发现，00513车4门由于门页底部与门槛间有异物（非车辆部件）卡滞，导致开关门时车门无法关闭，非车辆原因导致列车清客。龙-0013793
AC08-0233,工作令号:二日-2023-5-21 02033#021291正线报通道门打开，巡检正常。,02033#021291正线报通道门打开，巡检正常。 列车回库检查正常。 故障单号：北-3001502
AC17B-0281,工作令号:二日-2023-5-21 02081#024721正线报通道门打开。,02081#024721正线报通道门打开。 列车回库调整通道门接近开关位置，调整锁板位置后正常。 故障单号：北-3001501
AC17B-0282,工作令号:二日-2023-5-21 2082# 025393 025402 车门无通讯,2082# 025393 025402 车门无通讯（龙-0013798） 回库检查为7车4门COM1DO2B连接器松动，重新插紧后恢复连接器功能正常。
AC08-0253,工作令号:二临-2023-5-63 02023-05-25 19:25 二号线虹桥火车站下行0253#车，下行第3节第2扇车门故障。,02023-05-25 19:25 二号线虹桥火车站下行0253#车，下行第3节第2扇车门故障。 列车回库检查发现022913车3门无法关闭是由于该门左门页底部与门槛间有异物（非车辆部件）卡滞，导致车门无法拉动切除，非车辆原因导致列车清客。 故障单号：北-3001541
AC17B-0277,工作令号:二日-2023-5-25 02077#024561司机室通道门打开,02077#024561司机室通道门打开。龙-0013845 正线巡检人员上传检查通道门关闭正常，列车回库后检查通道门正常，开关门正常。
02A05-02087,工作令号:二日-2023-5-29 02087#025611通道门打开,02087#025611通道门打开。（龙-0013887） 正线检查车门关闭正常，回库检查通道门正常。
AC08-0233,工作令号:二日-2023-6-2 02033#021333乘客投诉客室紧急拉手盖板打开。,02033#021333乘客投诉客室紧急拉手盖板打开。 检查紧急拉手功能正常，重新补封后正常。 故障单号：北-3001610
AC17A-0261,工作令号:二临-2023-6-11 02023-06-05 08:54 二号线虹桥火车站上行0261#车，上行第6节第3扇车门故障切除。,查看录像发现车门防夹功能开启后EDCU（电子门控装置）死机，更换023553车6门EDCU（电子门控装置）后测试功能正常，复测车门各尺寸正常，开关门二十次正常，车况正常。 旧件序列号：13391/1004（服：5892817）。新件序列号：11163/0925。厂家：法维莱。型号：12.2305.7302。备件为返修件。
AC02-0216,工作令号:二日-2023-6-9 02016#01191贯通道门打开,02016#01191贯通道门打开。龙-0013973 调整贯通道门锁后正常。
AC17B-0282,工作令号:二日-2023-6-13 02082#024761 9门车门故障,02082#024761 9门车门故障。（龙-0014008） 检查为EDCU坏，更换EDCU重刷软件后，开关门正常。备件为返修件，版本为AS 04.002021.05.08 备件由质保提供，坏件由质保处理。 新件序列号：11064/0925 旧件序列号：20322/1909（服：5908753）
AC17B-0283,工作令号:二日-2023-6-22 2083# 025433 8门车门故障,2083# 025433 8门车门故障 流水号：川-2000103 上车检查发现6车8门DCS坏，更换DCS后，故障消失，车门各尺寸复查正常，多次开关门测试正常，车况正常。
02A05-02104,工作令号:二临-2023-6-42 02023-06-22 18:32 二号线徐泾东站上行02104#车上行左侧第8节第1扇车门故障。,回库下载故障记录为车门紧急解锁，下载监控录像显示乘客在车门关闭后扳动紧急解锁装置，造成车门解锁引起列车迫停，司机上车恢复紧急解锁装置并切除该车门。列车回库复位车门后开关门测试多次正常，复测车门相关尺寸正常。故障非车辆原因造成。
AC17B-0271,工作令号:二日-2023-6-25 2071# 024291 司机报上行通道门打开。,2071# 024291 司机报上行通道门打开。 流水号：川-2000114 列车回库检查锁舌尺寸正常，测试限位功能正常，车况正常，查看录像判断为司机误操作。
AC17A-0268,工作令号:二日-2023-6-26 2068# 024091 司机报下行头通道门打开。,2068# 024091 司机报下行头通道门打开。 流水号：川-2000123 回库检查锁舌尺寸正常，测试限位功能正常，查看录像判断为司机误操作，车况正常，非车辆原因。
AC17A-0262,工作令号:二日-2023-6-29 02062#023681司机室左侧侧门门锁坏。,02062#023681司机室左侧侧门门锁坏。 更换司机室侧门门锁后正常。（备件坏件质保处理，有合格证） 故障单号：2001479 北翟日三
AC17B-0272,工作令号:二日-2023-6-30 02072#024361正线报左侧备用开门按钮灯不亮。,02072#024361正线报左侧备用开门按钮灯不亮。 列车回库检查为按钮内发光二极管接触不良，重新安装紧固后，测试2分钟点亮均正常。 故障单号：2001499 北翟日三
AC17B-0273,工作令号:二日-2023-6-30 司机报下行头司机室左侧门锁锁孔坏,编号：川-2000150 日检上车检查正常，多次开关侧门测试正常，列车回库复查正常，也多次开关侧门正常，查看录像判断为司机误操作，非车辆原因，车况正常。
AC08-0251,工作令号:二日-2023-7-3 2051# 022742 5门测试EDCU,2051# 022742 5门测试EDCU 流水号：川-2000618 2051# 022742 5门测试EDCU正常，车况正常，备件为返修件。 新：21291/2243 旧：22203/2308
AC17B-0279,工作令号:二日-2023-7-4 02079#024611正线报司机室副台侧侧门故障。,02079#024611正线报司机室副台侧侧门故障。 检查司机室侧门门锁卡滞。调整后，开关门正常。列车正常。 故障单号：2001546 北翟日三
AC08-0239,工作令号:二日-2023-7-4 02039#021832正线报8#门未打开。,02039#021832正线报8#门未打开。 正线日检上车检查正常，跟车数站正常。列车回库检查车门正常，开关门测试20次均正常。 故障单号：2001547 北翟日三
AC02-0210,工作令号:二日-2023-7-7 02010#00661正线报通道门故障。,02010#00661正线报通道门故障。 检查发现司机室通道门铰链铆螺母脱出。重新扩孔并安装门页后，测试功能正常。 故障单号：2001572 北翟日三
AC08-0240,工作令号:二日-2023-7-8 02040#021851司机报司机室右侧侧门无法关闭。,02040#021851司机报司机室右侧侧门无法关闭。 列车回库多次测试侧门锁闭功能正常，车况正常。 故障单号：2001592 北翟日三
AC17B-0276,工作令号:二日-2023-7-8 2076# 024521 IOR平台报8车5门车门故障。,276#024521 IOR平台报8车5门车门故障 流水号：川-2000577 上车检查发现DDU面板无故障，多次开关门测试正常，车况正常，非车辆原因，判断为IOR平台误报。
AC02-0210,工作令号:二日-2023-7-12 210# 00661 贯通道紧急拉手坏。,210# 00661 贯通道紧急拉手坏。 流水号：川-2000662 上车更换贯通道搭扣后正常，多次开关门测试正常，车况正常。
AC08-0239,工作令号:二日-2023-7-15 2039# 021823 6车2门按技术要求调整门页高度。,2039# 021823 6车2门按技术要求调整门页高度。 流水号：川-2000685 库内调整后正常，多次开关门测试正常，复查门尺寸均正常，车况正常。
02A05-02112,工作令号:二日-2023-7-20 02112#027653车厢5-2车门故障,回库上车检查车门尺寸正常，多次开关门正常。下载数据为车门防夹。现列车正常。 编号：2001805
02A05-02096,车辆号错误，申请取消。,
02A05-02094,工作令号:二日-2023-7-20 02094#026182正线报7#门防夹。,02094#026182正线报7#门防夹。 正线日检确认列车车门为防夹状态。跟车至广兰路开关门均正常，回库检查正常。 故障单号：2001218 北翟日三
AC17A-0263,工作令号:二日-2023-7-28 02063#023761 10#门车门故障。,02063#023761 10#门车门故障。 读取故障代码为EDCU电隔离。更换EDCU后，测试开关门20次后，均正常。更换EDCU后10#EDCU与8#EDCU互换。（备件坏件质保处理，有返修报告合格证） 旧件序列号：12927/0950[服：5998004] 现8#EDCU序列号：11040/0925 现10#EDCU序列号：10798/0914 故障单号：2001288 北翟日三
AC02-0206,工作令号:二日-2023-7-31 02006#00371正线报1#门无法打开。,02006#00371正线报1#门无法打开。 回库检查门钩尺寸正常，发现为解钩小气缸卡滞导致车门无法打开。更换解钩小气缸后，开关门20次均正常。列车正常。（备件坏件质保处理，有合格证） 故障单号：2001311 北翟日三
AC17B-0277,工作令号:二临-2022-8-12 02022-08-10 08:51 二号线世纪大道站下行0277#车，第二节第三扇车门故障,02022-08-10 08:51 二号线世纪大道站下行0277#车，第二节第三扇车门故障。龙-0006814 回库查看车门已切除，恢复车门后下载故障为车门防夹保护开启，检查车门相关尺寸均正常，开关门测试正常，调取录像为乘客关门时冲门导致车门防夹保护开启，重新开关门二十次均正常，车况正常。
AC02-0210,工作令号:二日-2022-8-16 2010# 01533 6门车门故障,2010# 01533 6门车门故障 上车检查为门钩卡滞，调整门钩后正常。 故障单号：北-2005896 北翟日四
02A05-02100,工作令号:二日-2022-8-18 2100# 026693 026703 车门轻级故障,2100# 026693 026703 车门轻级故障 回库检查门控器接线、端子排线束及内部切除开关接线均正常，多次开关门正常。 流水号：北-2007119 北翟日四
AC17A-0261,工作令号:二临-2022-08-31 02022-08-22 08:35 二号线虹桥火车站上行0261#车，上行第4节第4扇车门故障切除。,0A：2022-08-22 08:35 二号线虹桥火车站上行0261#车，上行第4节第4扇车门故障切除。（车辆号：023572） 回库上车查看车门正常，开关门多次正常，查看录像为车门防夹启用，非车门本身问题，预防性互换5车（023572）7门和8门EDCU，开关门20次正常。 故障单号：3000054 北翟日四 现5车（023572） 8门edcu序列号：08461 0274 7门edcu序列号：08531 0386
AC02-0211,工作令号:二日-2022-8-26 2011# 00682 10门 00693 1门，2门车门故障,2011# 00682 10门 00693 1门，2门车门故障 00682 10门及00693 2门缺少导向块，补装后正常，00693 1门大气缸卡死，更换后正常。 （备件由质保提供） 故障单号：北-3000089 北翟日四
