车型-列车号,故障情况,处理情况
AC02-0216,工作令号:二临-2023-3-12 02023-03-24 18:19 二号线虹桥火车站上行0216#车，上行左侧第6节第2扇车门故障。,回库检查01213车8门，发现门钩有卡滞现象，更换门钩后复测车门各尺寸正常，开关门多次正常。 备件名称：门钩，备件型号：12160294，备件厂商：威奥轨道车辆门系统有限公司，备件为新件。
AC02-0216,工作令号:二日-2023-3-24 2016#01213车8门紧急拉手面板缺失,故障报单号：川-0005560 2016#01213车8门紧急拉手面板缺失，重新安装1个紧急拉手面板后测试功能正常，列车正常。
AC17B-0280,工作令号:二日-2023-3-24 2080#025313 6号门开关有异响,2080#025313 6号门开关有异响。 上车检查车门内有异物，清除后正常，多次开关门正常。 流水号：北-3001006（日检一班结）
AC08-0244,工作令号:二日-2023-3-24 244#022241司机室副台车门故障,244#022241司机室副台车门故障。 流水号：龙-0008016 上车检查为副台车门钢丝绳松脱，重新紧固后正常。库内静态测试正常。
AC17B-0277,工作令号:二日-2023-4-5 2077#024561等全列车门显示无通讯,2077#024561等全列车门显示无通讯。 回库读取故障，无相关故障，测试开关功能正常，车况正常。 流水号：北-2007167（日检一班结）
AC17B-0277,工作令号:二日-2023-4-12 277#024552 车门故障,277#024552 车门故障 流水号：龙-0013507 回库检查EDCN连接器松动，重新紧固后，多次开关门正常。库内静态测试正常。
AC17B-0273,工作令号:二日-2023-4-20 2073#024392 7号门车门故障,2073#024392 7号门车门故障。 回库检查024392车7号门EDCU（电子门控装置）死机，更换EDCU（电子门控装置）1个后开关门多次正常。 EDCU序列号：旧：20565/1915（服：5803557）；新：13662/1005 备件由质保提供，坏件由质保收回。备件为返修件，有返修报告，有合格证。 流水号：北-2005950（日检一班结）
02A05-02116,工作令号:二日-2023-4-21 2116#027973 2门车门故障,2116#027973 2门车门故障。 回库读取故障为2门开门障碍检测故障，查看录像为乘客夹衣导致，开关门测试正常。 流水号：北-2005963（日检一班结）
AC02-0211,工作令号:二日-2023-4-21 2011#00702车7号门无法关闭,2011#00702车7号门无法关闭。 回库检查00702车7门下部有异物，清理后开关门多次正常。 流水号：北-2005961（日检一班结）
02A05-02116,工作令号:二日-2023-5-3 2116#027931乘客投诉关门蜂鸣器不响,故障报单号：川-0005752 2116#027931乘客投诉关门蜂鸣器不响，正线上车确认司机室面板无故障，开关门蜂鸣器正常，回库复查开关门多次蜂鸣器正常，列车正常。
AC17B-0282,工作令号:二日-2023-5-3 2082#024761车门打开命令线路故障,2082#024761车门打开命令线路故障 上车检查AB1191WA线接错，重新布线后正常。 流水号：北-3001304（日一结）
AC17B-0277,工作令号:二日-2023-5-3 2077#024542、024552车门无通讯,故障报单号：川-0005754 2077#024542、024552车门无通讯，检查发现为RIOM死机，更换1个RIOM后启车测试正常，列车正常。 RIOM 213：旧件：1738/0912，新件：7040/1815。
02A05-02113,工作令号:二日-2023-5-3 027761 蜂鸣器不响,2113#027761 蜂鸣器不响。 流水号：龙-0013639 正线上车检查蜂鸣器正常，回库检查蜂鸣器正常。库内静态测试正常。
AC02-0205,与工单号5843444重复，取消,与工单号5843444重复开了，麻烦处理下。
AC02-0205,工作令号:二日-2023-5-11 2005#01453车门气改电充电机故障,2005#01453车门气改电充电机故障。 上车检查发现01453车门充电机故障灯显红，更换A03充电机模块后，库内试验正常。 充电模块序列号：旧：G07R00380002；新：G07R00380009 备件由质保提供，坏件由质保收回。备件为新件，有合格证。 流水号：北-3001395（日检一班结） 注：故障代码内无充电机故选驱动气缸。
AC17B-0277,工作令号:二日-2023-5-14 024542 024552 列车车门无通讯,024542 024552 列车车门无通讯 流水号：龙-0013724 更换024542车空调板卡1个，024552车RIOM 1个后列车正常。库内静态测试正常。
AC17B-0277,工作令号:二日-2023-5-19 2077#024531DDU显示通道门时开时关,2077#024531DDU显示通道门时开时关 回库检查录像未发现通道门打开，重新擦拭限位开关及锁舌，车况正常，开关门正常。 流水号：北-3001483（日一结）
AC17B-0281,工作令号:二日-2023-5-19 2081#024721 DDU显示024721通道门打开,2081#024721 DDU显示024721通道门打开。 回库检查录像未发现通道门打开，重新擦拭限位开关及锁舌车况正常，开关门正常。 流水号：北-3001481（日检一班结）
AC17A-0260,工作令号:二日-2023-5-19 2060#023451 DDU显示023521通道门打开,2060#023451 DDU显示023521通道门打开。 更换该门门锁挡板1个后，功能测试正常。（备件坏件质保处理） 流水号：北-3001482
AC08-0234,工作令号:二日-2023-5-23 021371通道门DDU显示不正确,故障报单号：川-0005910 2034#021371车司机室通道门DDU面板显示不正确，回库上车检查确认为通道门限位开关感应板缺失，重新安装感应板后恢复正常。（备件为2048#拆车件由质保提供）
02A05-02108,工作令号:二日-2023-5-23 027333 投诉非开门侧包夹住,027333 投诉非开门侧包夹住。 流水号：龙-0013822 上车下载车门数据无相关故障记录，多次开关门正常。
02A05-02087,工作令号:二日-2023-5-27 2087#025681正线司机室通道门打开,2087#025681正线司机室通道门打开。 车辆回库后检查为贯通道紧急解锁未完全复位，复位后开关门一切正常。 流水号：北-3001565（日检一班结）
AC08-0234,工作令号:二日-2023-5-27 2034#021432 9号门车门故障,2034#021432 9号门车门故障。 上车对故障车门进行检查发现车门门控器故障，更换021432 9号门控器后，反复开关门测试，车门功能正常，车况正常。 门控器序列号：旧：21643/2250（服：5877415）；新：938/0743 备件由质保提供，坏件交还质保。备件为返修件，有返修报告及合格证。 流水号：北-3001560（日检一班结）
02A05-02086,工作令号:二日-2023-5-31 2086#025531、025601正线HMI显示通道门打开,2086#025531、025601正线HMI显示通道门打开。 025531调整司机室通道门解锁开关后，开关门正常，面板正常。 025601回库查看司机室录像，发现司机关门力度偏小，导致锁舌搭接量不足，车门打开，回库重新润滑锁舌后，开关门正常，面板正常 流水号：北-3001596（日一结）
02A05-02108,工作令号:二日-2023-5-31 027361 司机室通道门打开,027361 司机室通道门打开。 流水号：龙-0013899 回库检查贯通道门锁各尺寸均正常。检查录像回放有人未关闭车门，非车辆原因，多次测试车门车况正常。
AC08-0234,工作令号:二日-2023-6-4 2034#021441司机室通道门打开,2034#021441司机室通道门打开 上车检查021441司机室通道门发现锁舌与锁扣挡板门隙过小，关门时用力过小，会导致锁舌弹出不充分，增加挡板垫片后，多次开关门测试均正常。 流水号：北-3001629（日一结）
AC02-0207,工作令号:二日-2023-6-7 2007#00462车5号门无法关闭,2007#00462车5号门无法关闭 回库检查00462车5门门钩间隙过小，调整门钩间隙后，开关门多次正常。 流水号：北-3001649（日一结）
AC17B-0270,工作令号:二日-2023-6-8 270#024251司机室侧门故障,270#024251司机室侧门故障。 流水号：龙-0013972 更换司机室侧门钢丝绳1根后检查正常。
02A05-02113,工作令号:二日-2023-6-8 027761面板显示通道门锁闭，故障信息显示通道门解锁。,027761面板显示通道门锁闭，故障信息显示通道门故障。 流水号：龙-0013970 上车检查，HMI面板无故障，重新调整通道门解锁传感器后车况正常。
AC17A-0256,工作令号:二日-2023-6-12 256#023131司机室通道门盖板脱落,023131司机室通道门盖板脱落。 流水号：龙-0014003 现更换司机室通道门盖板螺丝后恢复正常。
AC17B-0280,工作令号:二日-2023-6-15 025322非开门侧门夹包,280#025322非开门侧门夹包。 流水号：龙-0014028 回库检查车门正常，下载故障无相关故障代码，非车辆原因。
AC17B-0279,工作令号:二日-2023-6-16 024641司机室通道门显示红色,024641司机室通道门显示红色。 上车检查发现传感器位置偏移，调整后正常，测试正常。 流水号：北-3001737（日一结）
AC02-0214,工作令号:二日-2023-6-19 01093 3门开关门速度较慢,214#01093 3门开关门速度较慢。 流水号：龙-0014049 回库检查无相关故障代码，调整开关门速度后，开关门数次恢复正常。
AC02-0215,工作令号:二临-2023-6-33 02023-06-19 08:19 二号线龙阳路站下行0215#车，面板显示下行第1节车厢第3扇车门无法关闭。,215#车第1节第5扇车门故障切除。 流水号：龙-0014050 下载记录及回放录像为下行第一节（01131）的5门故障，检查发现为门槛条内有异物（非车辆部件）卡死车门，清除异物后列车恢复正常，开关门正常。
AC02-0202,工作令号:二日-2023-6-21 202#00181 9门大气缸漏气,202#00181 9门大气缸漏气 流水号：龙-0014070 更换大气缸后正常。
AC02-0211,工作令号:二日-2023-6-23 2011#00671车2号门大气缸漏气,2011#00671车2号门大气缸漏气 上车经检查00671车2号门大气缸坏，更换车门大气缸后开关门多次正常。 备件拆自209#1车（00551）2号门。 备件由质保提供，坏件由质保收回，备件为拆车件，有合格证。 流水号：北-3001801（日一结）
AC02-0211,工作令号:二日-2023-6-25 2011#00693 5号车门故障,工作令号:二日-2023-6-25 2011#00693 5号车门故障，检查为大气缸坏，更换大气缸后，多次开关门均正常。（备件由质保提供备件拆自2009#00551车5门已提供合格证）
AC02-0214,工作令号:二日-2023-6-27 01093 5门关闭速度过慢,214#01093 5门关闭速度过慢。 流水号：龙-0014109 上车检查导轨里发现有异物，取出异物后，库内开关门测试正常。
AC08-0239,工作令号:二日-2023-6-28 2039#021823 2门无法关闭,2039#021823 2门无法关闭 上车对故障车门进行检查，门控器故障，更换后开关门测试，功能正常可以使用。 门控器序列号：旧：20483/2207[服：5937005]；新：754/0737 备件由质保提供，坏件由质保收回。备件为返修件，有返修报告，有合格证。 流水号：北-2001467（北翟日一结）
AC17B-0271,工作令号:二日-2023-6-28 024291通道门打开,271#024291通道门打开。 流水号：龙-0014120 上车检查，重新调整锁舌尺寸后，库内测试正常。
02A05-02087,工作令号:二日-2023-6-28 025611通道门打开,287#025611通道门打开。 流水号：龙-0014119 上车检查，重新调整锁舌尺寸后，库内测试正常。
02A05-02100,工作令号:二日-2023-6-28 2100#026651司机室通道门打开,2100#026651司机室通道门打开 回库下载监控，发现司机未将通道门关好，上车检查车门锁舌尺寸正常，多次开关门正常。 流水号：北-2001472（北翟日一结）
AC02-0203,工作令号:二临-2023-7-5 02023-07-02 12:50 二号线虹桥火车站上行0203#车，第1节第4扇车门无法关闭。,2023-07-02 12:50 二号线虹桥火车站上行0203#车，第1节第4扇车门无法关闭。 回库检查发现00241车7号门门钩卡滞，更换后测试开关门正常。 生产厂家：威奥轨道车辆门系统有限公司 型号：12160294 备件由质保提供，坏件由质保收回。备件为拆车件，有合格证。（拆于209#00551 2门，架修时间：2022.10） 流水号：北-2001477（日检一班结） 注：故障影响实际为：掉线
AC02-0210,工作令号:二日-2023-7-2 2010#00661司机室通道门坏,故障报单号：川-2000616 2010#00661司机室通道门坏，检查发现为通道门铰链螺丝松脱，重新紧固后开关门测试正常。
02A05-02096,工作令号:二临-2023-7-16 02023-07-06 17:57 二号线虹桥火车站下行02096#车，第3节第5扇车门切除。,2023-07-06 17:57 二号线虹桥火车站下行02096#车，第3节第5扇车门切除。 回库读取车门故障代码：10（关门防夹），检查发现026353车9号门内有异物（非车辆部件），导致车门无法关闭。清除异物后列车恢复正常，测试开关门正常。 流水号：北-2001569（日检一班结） 注：正线故障影响实际为掉线
AC17A-0257,工作令号:二日-2023-7-7 2057#023281左侧关门灯不亮,2057#023281左侧关门灯不亮。 上车检查为0232631门到9门，关门信号电源线断路。更换新的线缆后，左侧关门灯正常，开关门测试正常。（新件坏件质保处理）库内调道测试正常。 故障单号：2001571 北翟日三结
AC08-0240,工作令号:二日-2023-7-10 2040#021851右侧司机室侧门关不上,2040#021851右侧司机室侧门关不上。 调整司机室右侧门锁锁舌后，测试正常。 流水号：北-2001618（日检一班结）
AC17B-0277,工作令号:二日-2023-7-10 025202 2-4车门红色故障灯亮,025202 2-4车门红色故障灯亮。 流水号：龙-0014209 回库检查正常下载故障无相关故障代码。库内静态测试正常。
AC17B-0283,工作令号:二日-2023-7-11 2083#025433车8门故障,故障报单号：川-2000594 2083#025433车8门故障，更换1个DCS限位开关后多次开关门测试正常，列车正常。
AC08-0240,工作令号:二临-2023-7-23 02023-07-13 07:10 二号线人民广场站上行0240#车，7：10 人民广场的上行20901次0240#车司机报：上行第3节第4扇车门无法打开，已将该将故障车门切除，关门灯点亮。,OA：2023-07-13 07:10 二号线人民广场站上行0240#车，7：10 人民广场的上行20901次0240#车司机报：上行第3节第4扇车门无法打开，已将该将故障车门切除，关门灯点亮。 列车回库检查发现021903车7门无法打开是由于该门左门页底部与门槛间有异物（非车辆部件）卡滞，导致车门无法拉动切除 流水号：2001643 北翟日四
AC17A-0268,工作令号:二日-2023-7-13 2068#024091 3门、024102 3门EDCU装车试验,2068#024091 3门、024102 3门EDCU装车试验。 024091 3门EDCU装上14760 1020 拆下13429 1004；024102 3门EDCU装上11128 0925拆下10453 0853作为备件。测试正常，车况正常。 EDCU序列号：旧：13429/1004；新：14760/1020 旧：10453/0853；新：11128/0925 备件由质保提供，旧件质保收回，备件为返修件，有返修报告，有合格证。 流水号：北-2001650（日检一班结） 旧件拆下作为备件，故不做服务请求，不做退回
AC17B-0271,工作令号:二日-2023-7-14 2071#024302 8号门车门故障,2071#024302 8号门车门故障。 回库检查为024302车8门EDCU故障，更换EDCU后开关门多次正常。 EDCU序列号：旧：20154/1842[服：5974239]；新：10618/0914 备件由质保提供，坏件由质保收回。备件为返修件，有返修报告和合格证。 流水号：北-2001659（日检一班结）
AC08-0239,工作令号:二日-2023-7-14 2039#021823车门故障,川沙基地 故障报单号：2000678 2039#021823车门故障，回库下载无相关故障记录，开关门测试多次正常，列车正常。
AC02-0206,工作令号:二日-2023-7-14 00371 1#门无法打开,00371 1#门无法打开 流水号：龙-0014247 上车检查为车门解钩小气缸坏，更换后正常，开关门多次正常。库内静态测试正常。
AC17B-0285,工作令号:二日-2023-7-17 2085#024862 3号门EDCU备件测试,2085#024862 3号门EDCU备件测试 更换024862车3门EDCU后开关门多次测试正常。装上系列号：20079-1739；拆下序列号：20855-1932（入库） EDCU序列号：旧：20855/1932；新：20079/1739 备件由质保提供，备件为返修件，有返修报告跟合格证。 流水号：北-2001679（北翟日一）
AC02-0207,工作令号:二日-2023-7-17 00462 车门故障,00462 车门故障 流水号：2001721 回库检查发现5#门门槽内有异物清除后正常。复测各尺寸正常，开关门多次正常。
AC02-0214,工作令号:二临-2023-7-40 02023-07-25 08:25 二号线唐镇站下行0214#车，下行第3节第3扇车门故障.,02023-07-25 08:25 二号线唐镇站下行0214#车，下行第3节第3扇车门故障.龙-2001783 回库检查5#车门驱动气缸有卡滞现象，现更换5#车门驱动气缸后开关门测试正常，检查相关尺寸均正常，开关门20次均正常，车况正常。 厂家：诺冠 型号：SPC./9715 3PE 备件为返修件有返修报告。 更换驱动气缸一个
AC17A-0257,工作令号:二日-2023-7-30 2057#023281司机室关门按钮不亮,2057#023281司机室关门按钮不亮。 经检查023263车9门内线号PC21松脱，重新紧固都开关门20次正常，车况正常。 流水号：北-2001310（日检一班结）
AC17B-0279,工作令号:二日-2022-8-5 0279#025253 9车门无通讯。,0279#025253 9车门无通讯。 上车对故障车门进行检查车门报无通讯故障，对故障车门网络接口插件检查并重新紧固，对相连车门7门的网络接口插件检查并紧固，重启后车门正常，开关门测试正常，车况正常。 故障单号：北-2005809 北翟日二闭环 （底层功能未有相关选项故未填写）
AC17A-0263,工作令号:二临-2022-08-22 02022-08-16 08:07 二号线龙阳路站下行0263#车，下行左侧第2节第1扇车门故障。,上车检查车门为切除状态，恢复后正常，下载故障为Door obstruction（车门防夹功能启动），查看录像为乘客夹门导致，检查车门相关尺寸均正常，开关门测试正常，车况正常。
AC02-0211,工作令号:二日-2022-8-16 0211#01573 4门1门故障。,0211#01573 4门1门故障。 更换4门大气缸进气管，更换1门导向轮后正常，开关门数次正常。 （新件旧件厂方处理） 故障编号：北-2005897 北翟日二闭环
AC02-0207,工作令号:二日-2022-8-24 0207# 00431 9#车门无法关闭。,0207# 00431 9#车门无法关闭。 上车未见故障，未见异物，预防性更换大气缸后多次开关门正常。 （新件旧件厂方处理） 故障编号：北-3000074 北翟日二闭环
02A05-02104,工作令号:二日-2022-8-25 02104# 027023 8#车门故障。,02104# 027023 8#车门故障。 回库检查面板无故障，开关门测试正常，车况正常。 故障编号：北-3000083 北翟日二闭环
AC02-0207,工作令号:二日-2022-8-25 207# 00431 9门被切除,207# 00431 9门被切除 故障号：川-0006477 检查车门门钩故障，更换车门门钩后正常。
AC08-0247,工作令号:二日-2022-8-25 247# 022472 7门无通讯,247# 022472 7门无通讯 故障号：川-0006476 检查为EDCU故障，与7车8门互换并更换EDCU后正常。 原7门：265/0804现坏件（服：5434963） 原8门：190/0713现7门 新件：734/0737现8门
AC17B-0279,工作令号:二临-2022-09-04 02022-09-02 14:51 二号线华夏东路站下行0279#车，第3节第2扇车门故障。,2022-09-02 14:51 二号线华夏东路站下行0279#车，第3节第2扇车门故障。（车厢号：024632） 列车回库读取故障记录为：EDCU（电子门控装置）被隔离，检查为车门EDCU（电子门控装置）故障，现更换024632 7#车门EDCU（电子门控装置）后正常，开关门测试正常。 应技术要求 024632 7#车门与8#车门互换EDCU并更换8#车门EDCU后多次开关门正常。 备件厂商：法维莱 备件型号：FT0107567-001 备件类型：返修件 原7门坏件：20499/1915（服：5466540），现8门新件：20147/1842（服：5466539） 原8门：20411/1910 （新件旧件厂方处理） 故障编号：北-3000107 北翟日二闭环
AC17B-0273,工作令号:二日-2022-9-2 02073# 025022 4门故障,02073# 025022 4门故障 流水号：龙-0006943 回库下载故障为门控死机，更换后开关门20次测试正常，车况正常。 序列号旧：20288/1750 序列号新：20619/1803 新件坏件厂方处理。 因是新车，故不开服务请求
AC17B-0273,工作令号:二日-2022-9-5 02073# 024401 副台门锁保险扣坏,02073# 024401 副台门锁保险扣坏 流水号：龙-0006957 更换门锁后开关门测试正常
AC02-0203,工作令号:二日-2022-9-9 02003# 00213 2门气缸漏气,02003# 00213 2门气缸漏气 流水号：龙-0006986 更换门控气缸后正常了，开关门20次功能测试正常。 新件坏件厂方处理。
AC02-0207,工作令号:二临-2022-09-28 02022-09-22 13:12 二号线北新泾路站下行0207#车，第2节第1扇车门故障。,02007# 00442 1门故障 流水号：龙-0007071 回库检查门钩有卡滞现象，更换后开关门测试正常，复测车门各尺寸正常，车况正常。备件型号： 12160294 备件厂商： IFE 备件为新件。 门钩销间隙：调整前1.4mm 调整后1.5mm S2尺寸：调整前89mm 调整后92mm SI开关与扇形板间隙：调整前0.6mm 调整后0.8mm V字形尺寸：调整前2mm 调整后2mm 防跳轮间隙：调整前0.3mm 调整后0.3mm 新件坏件厂方处理。
AC02-0203,工作令号:二临-2022-09-27 02022-09-22 06:46 二号线江苏路站下行0203#车，下行第二节左侧第一扇车门故障无法关闭。,回库检查门钩卡滞现象，更换后开关门测试正常，复测车门各尺寸正常，车况正常。门钩，生产厂商：IFE，备件型号：12160294，备件为新件。
AC02-0207,工作令号:二临-2022-09-33 02022-09-29 07:48 二号线淞虹路站折返线0207#车，下行第二节第1扇车门故障。,207# 00442 1门故障 流水号：龙-0007106 回库检查为解钩小气缸卡滞，更换解钩小气缸后开关门测试正常，复测车门各尺寸正常。车况正常。解钩小气缸厂商：IFE 备件型号：3A89991792 备件为新件。 新件坏件厂商处理。
AC17B-0273,工作令号:二临-2022-09-34 02022-09-29 08:10 二号线唐镇站下行0273#车，下行第2节第4扇车门故障。,02073# 024382 7号门故障 流水号：龙-0007106 回库检查为电子门控装置（EDCU）故障，更换后开关门测试正常，复测车门各尺寸正常。车况正常。厂商：法维莱 型号：12.2305.7302 备件为新件。 新件坏件厂商处理 旧件序列号：20409/1910（服：5492702） 新件序列号：14027/1012
AC17B-0285,工作令号:二日-2022-10-4 02085# 024872 2号门切除,02085# 024872 2号门切除 流水号：龙-0007154 回库下载故障，车门防夹启动。录像发现乘客导致车门防夹启动，非车辆原因。开关门测试正常，车况正常。
AC02-0213,工作令号:二日-2022-10-8 0213#01011 1#车门无法打开。,0213#01011 1#车门无法打开。 上车检查为车门小气缸卡滞，更换小气缸后多次开关门正常，车况正常。 编号：北-3000335 新件旧件厂方处理 北翟日二 闭环
AC08-0245,工作令号:二日-2022-10-16 0245#022251 右侧司机室侧门无法关闭,0245#022251 右侧司机室侧门无法关闭 调整门锁间隙后正常，开关门正常。 故障编号：北-3000395 北翟日二闭环
02A05-02089,工作令号:二日-2022-10-20 2089# 025793 4门乘客投诉有异响,2089# 025793 4门乘客投诉有异响 故障号：川-0006764 回库下载VCU故障以及EDCU故障，均未见相关故障代码，复测车门尺寸正常，多次开关门测试正常，车况正常。
AC08-0249,工作令号:二日-2022-10-20 02049# 022641 8门 门控死机,02049# 022641 8门 门控死机 流水号：龙-0007254 8门与7门互换EDCU后，故障转移。更换7门控器后开关门20次测试正常。 现8门：228/0804 7门新件：135/0810 7门旧件：180/0810（服：5516151） 备件为新件有出厂合格证。 新件坏件厂方处理。 7门为新件
AC17A-0264,工作令号:二日-2022-10-23 0264#023841 3门故障,0264#023841 3门故障 龙-0007266 上车检查为EDCU故障，更换后开关门多次正常 新：11448/0932 旧：12358/0942（服：5518693）
AC17A-0264,工作令号:二日-2022-10-27 0264#023841 5门故障。,闭环故障报单号：川-0006812 下载故障为DCS故障，更换DCS后多次开关门测试正常。
AC17A-0254,工作令号:二日-2022-10-27 0254#022992 1#车门无通讯。,0254#022992 1#车门无通讯。 上车将3车（022992）1门与2门互换EDCU后，并更换2门后正常，开关门多次均正常，车况正常。 流水号：龙-0007288 龙阳日二 闭环 现EDCU 1门：10982/0925 EDCU 2门新件：13178/0951 旧件：13800/1005（服：5522751）
02A05-02114,工作令号:二日-2022-10-28 2114# 027841左侧司机室侧门故障,2114# 027841左侧司机室侧门故障 故障号：川-0006819 上车检查发现为司机室侧门导轨卡滞，打油润滑后正常，开关门正常。
AC08-0240,工作令号:二日-2022-11-1 240# 021851司机室通道门故障,240# 021851司机室通道门故障 故障号：川-0006840 上车调整锁舌后，复测尺寸正常，多次开关门测试正常。
AC02-0214,工作令号:二日-2022-11-5 02014#01121司机室主台侧侧门无法关闭,02014#01121司机室主台侧侧门无法关闭。 流水号：龙-0007352 上车调整拉杆螺母间隙，紧固螺母后多次开关门正常，现列车正常。
AC17A-0260,工作令号:二日-2022-11-13 0260#023521 司机室通道门弹开。,0260#023521 司机室通道门弹开。 调整锁舌间隙后正常，车况正常。 故障单号：北-3000540 北翟日二闭环
AC17B-0285,工作令号:二日-2022-11-21 285# 025502 7车车门故障,285# 025502 7车车门故障 故障号：5552401 回库检查为限位开关故障，更换限位开关后正常。
AC17B-0281,"工作令号:二日-2022-11-24 024702,024712客室车门紧急拉手盖板坏","024702（1#5#门）,024712（3#6#门）客室车门紧急拉手盖板坏。龙-0007448 更换紧急拉手盖板后正常。 易损易耗。"
02A05-02116,工作令号:二临-2022-11-24 02022-11-28 07:52 二号线江苏路站下行02116#车下行第三节第三扇车门故障切除。,上车检查为S1行车开关卡滞，更换车门关到位行程开关后多次开关门正常，车况正常，生产厂商：康尼，型号：ZCD21，备件为新件。
AC17B-0278,工作令号:二日-2022-11-29 0278# 024601 7#车门故障。,"0278# 024601 7#车门故障。 上车下载故障记录为车门DLS故障，更换DLS1,DLS2后开关门测试正常。 （新件旧件厂方处理） 故障编号：北-3000638 北翟日二闭环"
AC17B-0285,工作令号:二日-2022-12-2 0285# 025502 7#门显示紧急拉手切除,0285# 025502 7#门显示紧急拉手切除。 完工故障报单号：川-0005077 上车检查车门线路正常，对调5车7门与5车8门门控器，更换7门限位开关DCS，多次测试开关门功能正常。 备件为新件由质保提供，坏件由质保收回。
AC08-0242,工作令号:二临-2022-12-10 02022-12-03 09:57 二号线金科路站下行，0242#车第5节第3扇车门故障。,2022-12-03 09:57 二号线金科路站下行，0242#车第5节第3扇车门故障。 回库读取故障记录为：Door Locked Switch2 Fault（门锁闭限位开关故障），检查为DLS（门锁闭限位开关）故障，更换后多次开关正常，车况正常。 备件厂商：法维莱 备件型号：84.7268.9602(DLS2) 备件类型：新件 有合格证 故障编号：北-3000665 北翟日二闭环
AC17B-0281,工作令号:二日-2022-12-3 0281#024721 9门故障。,0281#024721 9门故障。 检查为EDCU故障，现024721 9门与10门互换EDCU，再10门更换EDCU后开关门测试正常，车况正常。 （新件旧件厂方处理，备件为返修件，有维修报告，有合格证。） 故障单号：北-3000668 北翟日二闭环 原9门（旧件）：20839/1932（服：5575880） 现9门：20833/1932 原10门：20833/1932 现10门（新件）：12714/0946（服：5575877）
AC17B-0277,"工作令号:二日-2022-12-23 0277#024542,024552车门无通讯","0277#024542,024552车门无通讯，024552车空调控制板卡与024561车互换，024542车10门EDCU与024561车10门EDCU互换后，测试车门正常。 龙-000759 尼龙扎带为生产一次性领用给班组使用。"
AC08-0244,工作令号:二日-2022-12-27 0244#022171左侧关门灯不亮。,未闭环故障报单号：川-0005190 上车检查发现022241左侧门锁定空开跳开，待进一步查线。 故障报单号：川-0005193 上车进行门切除操作后，切除6车4门时断路器CICB-B跳开，故障复现。检查接线发现CM03D02B/3点位接错至2点位，导致切除时跳CICB-B断路器，调整接线后，切除车门后，断路器正常。多次开关门功能正常。
02A05-02089,工作令号:二日-2022-12-27 2089#025841通道门故障。,故障闭环单号龙-0007600 上车发现门锁松动，重新紧固后正常。
AC08-0253,工作令号:二日-2022-12-31 0253#022891 7门故障。,闭环故障报单号：川-0005207 回库下载门控器故障记录为DLS 1故障，更换DLS1后开关门多次测试正常，车况正常。
AC17B-0283,工作令号:二日-2023-1-3 0283#024771右侧关门灯时亮时不亮。,0283#024771右侧关门灯时亮时不亮，一个下客门打开。 检查发现1车逃生门限位开关损坏，更换后正常。 备件为新件有合格证。 流水号：川-0005223 川沙日二 闭环 （新件旧件厂方处理）
AC17A-0264,工作令号:二日-2023-1-3 02064# 023771 9门故障,02064# 023771 9门故障 流水号：龙-0007629 回库检查9门EDCU死机，与264#7门互换EDCU，后更换7门EDCU后开关门数次正常，车况正常。 现023771 9门：11439/0932 023771 7门新件：10767 0914 023771 7门旧件：11646/0936（服：5616932） 新件坏件厂方处理。 备件由质保提供
02A05-02094,工作令号:二日-2023-1-4 02094#026223 车门轻级故障。,02094#026223 HMI显示车门轻级故障。 回库检查车门功能正常，开关门实验20次无异常。 故障编号：北-3000808 北翟日二闭环
AC02-0211,工作令号:二日-2023-1-11 0211#00693 6#车门无法打开。,0211#00693 6#车门无法打开。 回库检查该车门发现有异物（1元硬币），取出后测试开关门多次正常，检查车门尺寸正常。 流水号：北-3000842（日检一班结）
02A05-02094,工作令号:二日-2023-1-12 02094#026223车10号车门故障,02094#026223车10号车门故障 下载门控器数据为开关障碍检测故障，检查为门控器故障，更换后开关门正常。 （新件旧件厂方处理） 备件新件 有合格证 新件：31290200300434001832800187 旧件：31290200300433001853100820 北翟日二闭环 新车质保，不开服务请求
AC02-0213,工作令号:二日-2023-1-16 02013# 01011 1门无法打开,02013# 01011 1门无法打开 流水号：龙-0007688 检查为解钩气缸故障，更换后多次开关门正常，车况正常。备件为新件。 新件坏件厂方处理 备件由质保提供
02A05-02094,工作令号:二日-2023-1-16 02094# 026223 10#车门轻级故障,02094# 026223 10#车门轻级故障。 调整左门页高度后，多次开关门试验正常。 故障编号：北-3000865 北翟日二闭环
AC02-0215,工作令号:二日-2023-1-19 0215# 01682 10#车门开关门速度慢。,0215# 01682 10#车门开关门速度慢。 上车检查为车门导轮卡滞，现润滑车门导轮后正常，开关门测试正常。 故障编号：北-3000884 北翟日二闭环
AC02-0216,工作令号:二日-2023-1-20 216# 01191 司机室侧门打不开,216# 01191 司机室侧门打不开 故障号：川-0005291 清洁门钩并调整尺寸后开关门正常。
AC02-0211,工作令号:二日-2023-1-27 02011# 00671 9门 车门故障,02011# 00671 9门 车门故障 流水号：龙-0007747 检查为关门止档松动，紧固并调整后开关门测试正常，车况正常。
AC02-0214,工作令号:二日-2023-1-28 02014# 01113 三门未打开,02014# 01113 三门未打开 流水号：龙-0007754 检查为小气缸故障，更换小气缸后正常，开关门测试正常。
